Round,Accuracy
<<<<<<< HEAD
1,15.74
2,28.7
3,37.9
4,39.92
5,45.13
6,50.34
7,46.43
8,47.77
9,51.41
10,47.35
11,51.28
12,51.9
13,49.63
14,52.23
15,46.47
16,47.04
17,52.73
18,46.36
19,49.77
20,50.41
21,51.92
22,48.85
23,52.24
24,51.29
25,48.29
26,53.67
27,53.75
28,54.99
29,55.8
30,53.59
31,54.62
32,56.47
33,54.11
34,55.3
35,54.49
36,56.19
37,53.94
38,58.28
39,57.22
40,57.05
41,56.95
42,58.51
43,59.07
44,58.07
45,58.05
46,57.77
47,57.68
48,58.43
49,57.44
50,56.18
51,58.59
52,57.87
53,60.21
54,58.56
55,59.78
56,59.36
57,57.93
58,58.8
59,57.52
60,54.1
61,62.7
62,60.45
63,58.33
64,58.47
65,59.15
66,60.5
67,58.95
68,59.01
69,58.73
70,60.52
71,60.94
72,61.13
73,62.12
74,60.41
75,62.11
76,61.12
77,60.0
78,62.65
79,63.7
80,58.0
81,62.31
82,60.43
83,61.0
84,59.04
85,62.0
86,62.99
87,60.41
88,61.63
89,59.43
90,60.9
91,60.55
92,61.69
93,62.45
94,61.78
95,57.8
96,61.7
97,62.54
98,60.45
99,60.87
100,62.31
=======
1,17.77
2,27.12
3,40.06
4,43.27
5,47.95
6,44.45
7,53.55
8,43.48
9,50.8
10,48.21
11,51.08
12,51.12
13,49.49
14,52.58
15,49.55
16,53.25
17,52.39
18,52.79
19,51.47
20,52.47
21,53.23
22,52.99
23,52.66
24,54.3
25,51.95
26,52.99
27,50.27
28,52.73
29,55.43
30,51.24
31,54.77
32,54.71
33,55.61
34,54.39
35,53.32
36,57.79
37,55.43
38,53.03
39,55.73
40,54.45
41,54.79
42,56.37
43,55.33
44,56.78
45,56.19
46,55.93
47,56.69
48,57.33
49,56.77
50,52.47
51,56.02
52,57.98
53,61.44
54,60.25
55,57.27
56,56.72
57,56.4
58,59.8
59,57.08
60,58.87
61,55.42
62,61.24
63,59.53
64,59.19
65,58.67
66,59.85
67,57.02
68,58.76
69,56.11
70,57.47
71,59.19
72,59.41
73,59.88
74,61.23
75,58.12
76,59.64
77,57.71
78,58.3
79,57.71
80,59.69
81,59.93
82,59.48
83,60.63
84,57.85
85,61.16
86,61.86
87,60.98
88,60.58
89,60.76
90,59.67
91,63.16
92,62.0
93,60.2
94,60.74
95,57.5
96,61.3
97,59.73
98,59.82
99,61.32
100,64.33
>>>>>>> refs/remotes/origin/main
